2019	1	1813	112	50	75.5
2019	1	1813	110	50	88.5
2019	1	1813	111	50	92.14
2019	1	1653	101	55	88.5
2019	1	1653	102	45	78.2
2019	1	1653	103	45	98.5
2019	1	1653	104	48	76.5
2019	1	1653	105	50	88.2
2019	1	1653	106	35	89.5
2019	1	2082	220	35	93.2
2019	1	2082	221	36	91.4
2019	1	2176	201	52	67.8
2019	1	2176	202	53	78.5
2019	1	2176	203	50	72.3
2019	1	2176	204	48	80.2
2019	1	3294	310	40	90.3
2019	1	3294	311	40	90.5
2019	1	3294	312	40	89.4
2019	1	3294	313	40	92.3
2019	1	3294	314	40	87.5
2019	1	3294	315	35	87.2
2019	1	3979	301	30	78.5
2019	1	3979	302	30	87.6
2019	1	3979	303	30	88.5
2019	1	3818	311	40	95.6
2019	1	3245	312	40	78.5
2019	1	4567	401	50	51.1
2019	1	4312	410	45	50.2
2019	1	4412	411	30	54.3
2019	1	4412	411	30	76.4
2019	1	4412	411	30	63.5
2019	1	5506	510	50	72.6
2019	1	5506	511	50	80.7
2019	1	5506	512	45	66.8
2019	1	5890	501	45	95.9
2019	1	5678	501	40	88
2019	1	5678	502	40	51.1
2019	1	5678	503	40	53.2
2019	1	5423	501	35	65.3
2019	1	5423	502	35	83.4
2019	1	5423	503	35	61.5
2019	1	5423	504	34	74.6
2019	1	6542	601	55	57.7
2019	1	6542	602	55	55.8
2019	1	6123	610	50	65.9
2019	1	6123	611	50	93
2019	1	6123	612	45	75.1
2019	1	6789	601	40	56.2
2019	1	6789	602	40	61.3
2019	1	6789	603	38	74.4
2019	1	6789	604	35	65.5
2019	1	6324	601	35	97.6
2019	1	6324	602	35	97.7
2019	1	6324	603	30	63.8
2019	1	6324	604	30	86.9
2019	1	6324	605	30	71
2019	1	6678	610	45	98.1
2019	1	6678	611	45	58.2
2019	1	7845	701	30	71.3
2019	1	7845	702	30	55.4
2019	1	7123	701	30	92.5
2019	1	7123	702	30	72.6
2019	1	7123	703	30	94.7
2019	1	6745	601	40	86.8
2019	1	6745	602	39	61.9
2019	1	6745	603	38	54
2019	1	6678	601	50	82.1
2019	1	6678	602	50	86.2
2019	1	6678	603	45	81.3
2019	1	7823	701	30	93.4
2019	1	7823	702	30	66.5
2019	1	8756	801	30	65.6
2019	1	8756	801	30	68.7
2019	1	8756	802	30	63.8
2019	1	8123	810	30	78.9
2019	1	8123	811	25	63
2019	1	8099	810	40	95.1
2019	1	8100	810	40	64.2
2019	1	8967	810	40	94.3
2019	1	8967	811	40	77.4
2019	1	8967	812	40	99.5
